"Classe","Arquivo"
"?","src\components\module-card.js"
"?","src\components\quiz.js"
"?","src\modules\gases\simulation.js"
"?","src\modules\opacidade\simulation.js"
"?","src\modules\produtos-perigosos\simulation.js"
"app-footer","src\app\composition\application-composition.js"
"app-header","src\components\app-header.js"
"brake-reading","src\modules\frenagem\sections\estudo-caso.js"
"brake-reading__header","src\modules\frenagem\sections\estudo-caso.js"
"brake-reading__status","src\modules\frenagem\sections\estudo-caso.js"
"brake-reading__title","src\modules\frenagem\sections\estudo-caso.js"
"brake-reading__wheels","src\modules\frenagem\sections\estudo-caso.js"
"brake-result","src\modules\frenagem\sections\simulador.js"
"brake-result__bar-fill","src\modules\frenagem\sections\simulador.js"
"brake-result__bar-item","src\modules\frenagem\sections\simulador.js"
"brake-result__bars","src\modules\frenagem\sections\simulador.js"
"brake-result__bar-track","src\modules\frenagem\sections\simulador.js"
"brake-result__chart","src\modules\frenagem\sections\simulador.js"
"brake-result__detail","src\modules\frenagem\sections\simulador.js"
"brake-result__details","src\modules\frenagem\sections\simulador.js"
"brake-result__metric","src\modules\frenagem\sections\simulador.js"
"brake-result__metrics","src\modules\frenagem\sections\simulador.js"
"brake-result__section","src\modules\frenagem\sections\simulador.js"
"brake-result__summary","src\modules\frenagem\sections\simulador.js"
"brake-result__validation","src\modules\frenagem\sections\simulador.js"
"brake-result__warnings","src\modules\frenagem\sections\simulador.js"
"brake-simulator","src\modules\frenagem\sections\simulador.js"
"brake-simulator__actions","src\modules\frenagem\sections\simulador.js"
"brake-simulator__button","src\modules\frenagem\sections\simulador.js"
"brake-simulator__button--primary","src\modules\frenagem\sections\simulador.js"
"brake-simulator__button--secondary","src\modules\frenagem\sections\simulador.js"
"brake-simulator__case-button","src\modules\frenagem\sections\simulador.js"
"brake-simulator__case-grid","src\modules\frenagem\sections\simulador.js"
"brake-simulator__empty-icon","src\modules\frenagem\sections\simulador.js"
"brake-simulator__empty-state","src\modules\frenagem\sections\simulador.js"
